Regno,Name,Course_Code,Subject_Code,Semester,Number_of_Pages,Mode_of_Dispatch,Email_ID,Mobile_Number
4.12422E+11,AAKASH P,206,20MA,III,19,Direct,412422205002@email.com,9823456789
4.12422E+11,ABINAYA M,206,21PYL,III,20,Online,412422205003@email.com,9123456789
4.12422E+11,ABINAYA S,206,21PYL,II,19,Courier,412422205005@email.com,9834567890
4.12422E+11,ADHITHYA RAMKUMAR,206,21GM,II,18,Direct,412422205007@email.com,9876543210
4.12422E+11,ANIRUTH S,301,20MA,II,18,Online,412422205014@email.com,9123456780
4.12422E+11,ARVIND S,206,20BDA,IV,19,Direct,412422205018@email.com,9812345678
4.12422E+11,DEEPAK KUMAR P,205,21GM,IV,15,Online,412422205027@email.com,9753102468
4.12422E+11,DHARUNYAN P,205,20MA,III,25,Online,412422205032@email.com,9876543021
4.12422E+11,DITTORAJ V,301,21GM,III,18,Direct,412422205035@email.com,9087654321
4.12422E+11,GOKULRAJ S,206,21PYL,I,18,Direct,412422205039@email.com,9678432109
4.12422E+11,GUKAN R M,205,20MA,IV,19,Direct,412422205044@email.com,9765432108
4.12422E+11,HARI PRAKASH K,301,20MA,IV,25,Courier,412422205045@email.com,9357628490
4.12422E+11,HARSHAVARDHAN V S,205,21GM,I,20,Direct,412422205050@email.com,9876543201
4.12422E+11,JANANI C,206,20BDA,II,15,Online,412422205055@email.com,9123456879
4.12422E+11,JANANI VASUPRADHA S,301,21PYL,II,19,Direct,412422205056@email.com,9987654320
4.12422E+11,JANNATHUL FIRDAUS M,205,20BDA,III,15,Courier,412422205057@email.com,9345678231
4.12422E+11,JENISHA CAROLINE M,206,21PYL,IV,25,Online,412422205060@email.com,9876543012
4.12422E+11,KARTHIK S S,206,20BDA,II,15,Courier,412422205063@email.com,9567890432
4.12422E+11,KARTHIKKEYAN V,205,20BDA,I,25,Direct,412422205064@email.com,9823456012
4.12422E+11,KISHORE S,205,20BDA,I,25,Courier,412422205071@email.com,9234567890
4.12422E+11,KRISHNA KUMAR B J,206,20MA,III,20,Online,412422205072@email.com,9753102864
4.12422E+11,LILLI C,205,21PYL,IV,15,Online,412422205076@email.com,9812345789
4.12422E+11,MAHALINGAM G,301,20MA,III,15,Courier,412422205080@email.com,9975643281
4.12422E+11,MAHIMA A,205,21PYL,I,20,Online,412422205081@email.com,9890123456
4.12422E+11,MANINDHAR T,301,21GM,I,19,Direct,412422205083@email.com,9123456901
4.12422E+11,MEDHA HARINI DRAVIDAMANI,301,21PYL,III,19,Online,412422205086@email.com,9887654321
4.12422E+11,MOHAMED RAYHAN S,301,21PYL,III,15,Direct,412422205087@email.com,9823456901
4.12422E+11,MOHAN B,301,20BDA,II,18,Courier,412422205088@email.com,9078564312
4.12422E+11,MONEESH B,205,21GM,IV,18,Online,412422205092@email.com,9876543098
4.12422E+11,MUGILAN U,205,21GM,I,19,Courier,412422205093@email.com,9675432108
4.12422E+11,MUKUNDAPRIYA N,301,20MA,IV,18,Direct,412422205094@email.com,9765410234
4.12422E+11,NIKITHA D,205,20MA,III,25,Courier,412422205100@email.com,9312345678
4.12422E+11,NIVASHINI J,205,21GM,I,25,Courier,412422205102@email.com,9823412345
4.12422E+11,NIVETHA RUVAH D,206,20MA,II,25,Courier,412422205103@email.com,9876543087
4.12422E+11,NIYASUDEEN T,205,20MA,II,18,Online,412422205104@email.com,9567890312
4.12422E+11,OVIYA A,301,20BDA,III,15,Direct,412422205105@email.com,9823456078
4.12422E+11,PADMAVATHI B,206,21GM,I,18,Courier,412422205106@email.com,9234567801
4.12422E+11,PRASATH S,301,21PYL,IV,20,Online,412422205111@email.com,9753102947
4.12422E+11,PRAVEENA G,206,21GM,IV,19,Direct,412422205112@email.com,9812345689
4.12422E+11,PRITHVI KUMAR A,206,20MA,I,20,Online,412422205114@email.com,9678432098
4.12422E+11,PRIYATHARSHNI S,205,21PYL,II,20,Courier,412422205118@email.com,9765432987
4.12422E+11,RAGUL J,206,20BDA,I,15,Online,412422205119@email.com,9123456978
4.12422E+11,SABARIESH D,206,21PYL,II,18,Courier,412422205129@email.com,9812345798
4.12422E+11,SAHANA A,205,20BDA,I,20,Courier,412422205130@email.com,9753102046
4.12422E+11,SAIBALAJI V,206,20BDA,IV,20,Direct,412422205131@email.com,9987654301
4.12422E+11,SANDHYA A,301,21GM,IV,15,Direct,412422205137@email.com,9345678251
4.12422E+11,SATHISH R,301,20MA,IV,20,Online,412422205140@email.com,9876543076
4.12422E+11,SELVAKUMAR P,301,20MA,II,25,Courier,412422205142@email.com,9567890345
4.12422E+11,SHANTHOSH KUMAR B,205,20BDA,II,19,Online,412422205145@email.com,9823456123
4.12422E+11,SOWMIYA S,205,20MA,III,25,Courier,412422205148@email.com,9234567843
